2020-11-05 22:36:57,350 - full-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='full', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='full-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:57,699 - full-1 - INFO - Vocabulary size is 9957
2020-11-05 22:37:07,865 - full-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:54:03,569 - full-1 - WARNING - | end of epoch 108 | time:  9.52s |valid ppl   116.85 | valid loss:  4.83
2020-11-05 22:54:13,082 - full-1 - WARNING - | end of epoch 109 | time:  9.51s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:54:22,603 - full-1 - WARNING - | end of epoch 110 | time:  9.52s |valid ppl   116.85 | valid loss:  4.75
2020-11-05 22:54:32,113 - full-1 - WARNING - | end of epoch 111 | time:  9.51s |valid ppl   116.85 | valid loss:  4.71
2020-11-05 22:54:41,632 - full-1 - WARNING - | end of epoch 112 | time:  9.52s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:54:51,147 - full-1 - WARNING - | end of epoch 113 | time:  9.51s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:55:00,688 - full-1 - WARNING - | end of epoch 114 | time:  9.54s |valid ppl   116.85 | valid loss:  4.66
2020-11-05 22:55:10,222 - full-1 - WARNING - | end of epoch 115 | time:  9.53s |valid ppl   116.85 | valid loss:  4.83
2020-11-05 22:55:19,762 - full-1 - WARNING - | end of epoch 116 | time:  9.54s |valid ppl   116.85 | valid loss:  4.63
2020-11-05 22:55:29,277 - full-1 - WARNING - | end of epoch 117 | time:  9.51s |valid ppl   116.85 | valid loss:  4.75
2020-11-05 22:55:38,814 - full-1 - WARNING - | end of epoch 118 | time:  9.54s |valid ppl   116.85 | valid loss:  4.79
2020-11-05 22:55:48,366 - full-1 - WARNING - | end of epoch 119 | time:  9.55s |valid ppl   116.85 | valid loss:  4.64
2020-11-05 22:55:57,894 - full-1 - WARNING - | end of epoch 120 | time:  9.53s |valid ppl   116.85 | valid loss:  4.78
2020-11-05 22:56:07,420 - full-1 - WARNING - | end of epoch 121 | time:  9.53s |valid ppl   116.85 | valid loss:  4.63
2020-11-05 22:56:16,948 - full-1 - WARNING - | end of epoch 122 | time:  9.53s |valid ppl   116.85 | valid loss:  4.82
2020-11-05 22:56:26,475 - full-1 - WARNING - | end of epoch 123 | time:  9.53s |valid ppl   116.85 | valid loss:  4.75
2020-11-05 22:56:35,996 - full-1 - WARNING - | end of epoch 124 | time:  9.52s |valid ppl   116.85 | valid loss:  4.82
2020-11-05 22:56:45,535 - full-1 - WARNING - | end of epoch 125 | time:  9.54s |valid ppl   116.85 | valid loss:  4.85
2020-11-05 22:56:55,079 - full-1 - WARNING - | end of epoch 126 | time:  9.54s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:57:04,629 - full-1 - WARNING - | end of epoch 127 | time:  9.55s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:57:14,167 - full-1 - WARNING - | end of epoch 128 | time:  9.54s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:57:23,690 - full-1 - WARNING - | end of epoch 129 | time:  9.52s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:57:33,236 - full-1 - WARNING - | end of epoch 130 | time:  9.55s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:57:42,789 - full-1 - WARNING - | end of epoch 131 | time:  9.55s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:57:52,368 - full-1 - WARNING - | end of epoch 132 | time:  9.58s |valid ppl   116.85 | valid loss:  4.76
